"","Campaign.id","Date","Max_click"
"1",12503,"2019-01-20",96052
"2",12501,"2018-10-29",63258
"3",13502,"2018-10-14",60699
"4",12502,"2018-12-23",60536
"5",10901,"2018-12-23",46052
"6",13502,"2019-01-27",45982
"7",13502,"2019-01-29",44898
"8",10901,"2018-10-02",43571
"9",13502,"2019-01-28",42990
"10",13002,"2018-09-23",42311
"11",12502,"2019-01-27",40019
"12",13003,"2018-12-24",39418
"13",12505,"2018-09-28",38736
"14",12505,"2018-09-27",37817
"15",12505,"2018-09-26",37795
"16",12505,"2018-09-25",35401
"17",12502,"2018-12-27",35146
"18",13003,"2018-10-29",34877
"19",12502,"2019-01-26",34669
"20",13003,"2018-12-25",33810
"21",3001,"2018-09-29",33686
"22",13101,"2018-10-24",33122
"23",12502,"2018-12-19",32642
"24",12502,"2018-12-21",31718
"25",13101,"2018-10-25",30636
"26",10901,"2019-01-28",29106
"27",13003,"2018-12-26",28772
"28",8801,"2019-01-21",27806
"29",13101,"2018-10-29",27625
"30",13002,"2018-09-28",27557
"31",12502,"2018-12-28",27556
"32",11801,"2018-10-23",27162
"33",12503,"2019-01-21",26556
"34",13003,"2018-12-19",26443
"35",3001,"2018-09-28",26226
"36",10901,"2019-01-26",25534
"37",13003,"2019-01-29",25304
"38",13003,"2018-12-23",25120
"39",13003,"2018-12-27",25087
"40",12502,"2018-12-20",24634
"41",8801,"2019-01-22",24620
"42",12503,"2019-01-28",24222
"43",13003,"2019-01-26",24195
"44",10901,"2019-01-27",24011
"45",3001,"2018-09-23",23619
"46",8801,"2019-01-20",22886
"47",12501,"2018-10-23",22846
"48",12505,"2019-01-20",22710
"49",10901,"2019-01-29",22703
"50",12502,"2019-01-21",22424
"51",13003,"2018-12-20",22250
"52",3001,"2018-08-29",22231
"53",11801,"2018-10-24",21630
"54",12503,"2019-01-27",21592
"55",12503,"2019-01-26",21538
"56",12502,"2019-01-20",21480
"57",12502,"2018-12-26",21257
"58",12501,"2018-10-24",21065
"59",12502,"2018-12-22",20034
"60",13101,"2018-10-23",19952
"61",3001,"2018-08-30",19739
"62",12501,"2018-09-28",19152
"63",13003,"2018-12-17",18873
"64",13003,"2018-12-18",18793
"65",10901,"2018-09-28",18118
"66",12502,"2019-01-16",16875
"67",13502,"2019-01-21",16784
"68",12502,"2018-12-24",16536
"69",12503,"2019-01-22",16049
"70",13002,"2018-09-25",16016
"71",3001,"2018-09-26",15472
"72",12505,"2018-09-29",15392
"73",13003,"2019-01-30",15362
"74",12502,"2019-01-28",15193
"75",3001,"2018-08-31",15102
"76",13003,"2019-01-27",14924
"77",13101,"2018-10-28",14902
"78",3001,"2018-09-25",14811
"79",13003,"2018-12-21",14605
"80",11801,"2018-09-28",14581
"81",11801,"2018-10-28",14420
"82",12502,"2019-01-19",13959
"83",13601,"2018-11-15",13954
"84",12503,"2019-01-19",13490
"85",11801,"2018-09-16",13433
"86",10901,"2019-01-30",13341
"87",13601,"2018-11-12",13298
"88",11801,"2018-09-29",13117
"89",12505,"2019-01-26",13039
"90",12502,"2019-01-30",13018
"91",12502,"2018-12-15",12981
"92",12502,"2018-12-14",12880
"93",13002,"2018-09-24",12851
"94",10901,"2018-10-01",12848
"95",13601,"2018-11-14",12630
"96",11801,"2018-09-15",12619
"97",12501,"2018-09-23",12587
"98",3001,"2019-01-29",12547
"99",12502,"2019-01-12",12544
"100",13003,"2018-12-06",12459
"101",13003,"2018-12-22",12436
"102",12502,"2019-01-13",12411
"103",11801,"2018-09-19",12405
"104",13502,"2019-01-30",12402
"105",12502,"2019-01-17",12226
"106",12502,"2019-01-18",12197
"107",3001,"2018-09-22",12173
"108",13601,"2018-11-16",11909
"109",11801,"2018-09-21",11847
"110",11801,"2018-09-14",11844
"111",13003,"2018-12-12",11789
"112",3001,"2018-09-24",11744
"113",12502,"2019-01-22",11671
"114",13601,"2018-11-13",11623
"115",12502,"2018-12-17",11536
"116",13003,"2018-12-28",11488
"117",11801,"2018-09-20",11372
"118",11801,"2018-09-25",11292
"119",12502,"2018-12-25",11104
"120",13601,"2018-11-11",11089
"121",13601,"2018-11-10",11036
"122",13101,"2018-10-30",10884
"123",11801,"2018-09-24",10866
"124",11801,"2018-09-17",10806
"125",13003,"2018-12-16",10721
"126",13003,"2018-12-07",10691
"127",13003,"2018-11-16",10502
"128",14301,"2019-01-20",10432
"129",12506,"2019-01-04",10421
"130",13601,"2018-11-17",10413
"131",12501,"2018-09-25",10394
"132",11801,"2018-09-23",10357
"133",13003,"2018-12-08",10287
"134",12502,"2019-01-29",10241
"135",13502,"2018-10-24",10184
"136",13003,"2018-12-14",10174
"137",11801,"2018-09-18",10161
"138",13003,"2018-12-13",10100
"139",12502,"2018-12-16",10087
"140",13601,"2018-11-19",10082
"141",14301,"2019-01-29",10032
"142",13601,"2018-11-18",10027
"143",10901,"2018-11-10",9968
"144",12501,"2018-09-24",9937
"145",11801,"2018-10-27",9926
"146",13601,"2018-11-21",9793
"147",13003,"2018-12-15",9790
"148",13003,"2018-12-11",9763
"149",13001,"2018-09-23",9715
"150",12507,"2019-01-22",9581
"151",13003,"2018-11-19",9515
"152",13003,"2019-01-20",9507
"153",13001,"2018-09-25",9486
"154",12502,"2018-12-12",9373
"155",13001,"2018-09-24",9308
"156",12501,"2018-09-29",9296
"157",12502,"2019-01-15",9259
"158",12506,"2019-01-26",9243
"159",12501,"2018-09-19",9220
"160",12502,"2018-09-20",9215
"161",13003,"2018-12-02",9204
"162",10901,"2018-09-27",9191
"163",12506,"2019-01-27",9160
"164",13002,"2018-09-22",9143
"165",12506,"2019-01-30",9119
"166",10901,"2019-01-18",9052
"167",12501,"2018-09-20",9052
"168",12506,"2019-01-13",9018
"169",12506,"2019-01-20",8987
"170",13305,"2018-11-03",8967
"171",13003,"2018-11-18",8966
"172",13003,"2018-12-04",8946
"173",13001,"2018-09-26",8933
"174",14301,"2019-01-26",8909
"175",12506,"2019-01-17",8866
"176",14301,"2019-01-27",8852
"177",10901,"2019-01-20",8843
"178",12506,"2019-01-14",8841
"179",12506,"2019-01-12",8760
"180",13502,"2018-10-13",8760
"181",10901,"2018-11-11",8749
"182",12501,"2018-09-21",8735
"183",13003,"2018-12-10",8730
"184",12501,"2018-10-15",8718
"185",12506,"2019-01-15",8676
"186",12506,"2019-01-18",8639
"187",13003,"2018-12-09",8605
"188",13002,"2018-09-26",8583
"189",12506,"2019-01-21",8576
"190",12506,"2019-01-19",8541
"191",12505,"2019-01-21",8525
"192",12507,"2019-01-21",8507
"193",12505,"2019-01-19",8458
"194",13003,"2018-12-05",8442
"195",12502,"2019-01-11",8408
"196",10901,"2019-01-21",8388
"197",12502,"2019-01-14",8379
"198",12507,"2019-01-28",8354
"199",12506,"2019-01-06",8319
"200",14301,"2019-01-30",8307
"201",14102,"2019-01-28",8288
"202",12501,"2019-01-30",8225
"203",13001,"2018-09-11",8212
"204",13003,"2018-12-03",8207
"205",12506,"2019-01-28",8147
"206",12501,"2018-10-16",8133
"207",13003,"2018-11-12",8127
"208",10901,"2018-11-23",8085
"209",12505,"2019-01-22",8071
"210",13101,"2018-10-31",8047
"211",13001,"2018-09-27",8024
"212",13003,"2018-11-15",8011
"213",12506,"2019-01-11",7947
"214",13601,"2018-11-20",7942
"215",13601,"2018-11-22",7925
"216",12502,"2018-09-24",7893
"217",13003,"2018-11-17",7876
"218",12506,"2019-01-29",7853
"219",13003,"2018-11-21",7852
"220",14102,"2019-01-27",7844
"221",11801,"2018-10-26",7813
"222",10901,"2018-12-22",7809
"223",8801,"2018-11-29",7782
"224",13305,"2018-11-22",7777
"225",12506,"2019-01-16",7767
"226",13002,"2019-01-20",7756
"227",13601,"2018-11-24",7742
"228",12501,"2018-09-17",7716
"229",13305,"2018-11-04",7704
"230",12505,"2019-01-27",7690
"231",13601,"2018-11-23",7687
"232",11801,"2018-09-27",7635
"233",12506,"2019-01-09",7627
"234",10901,"2018-11-22",7565
"235",10901,"2018-11-09",7557
"236",13003,"2018-11-20",7546
"237",13601,"2018-11-09",7516
"238",13305,"2018-11-23",7514
"239",10901,"2018-11-12",7482
"240",12506,"2019-01-10",7468
"241",10901,"2018-11-24",7439
"242",14101,"2019-01-29",7426
"243",12506,"2019-01-08",7405
"244",10901,"2018-09-22",7394
"245",13003,"2018-10-11",7389
"246",12502,"2018-12-29",7367
"247",13502,"2019-01-22",7349
"248",13305,"2018-11-21",7309
"249",11801,"2018-10-29",7299
"250",13305,"2018-11-10",7288
"251",12502,"2018-09-22",7275
"252",12501,"2018-10-17",7258
"253",13002,"2018-09-16",7172
"254",12505,"2018-09-23",7158
"255",10901,"2018-11-19",7109
"256",12501,"2019-01-29",7064
"257",10901,"2018-09-23",7025
"258",13002,"2018-09-15",7018
"259",13601,"2018-11-25",6994
"260",12506,"2019-01-07",6969
"261",13305,"2018-11-16",6960
"262",14102,"2019-01-26",6950
"263",3001,"2018-09-21",6942
"264",12501,"2018-09-26",6871
"265",13003,"2019-01-21",6863
"266",12502,"2018-09-23",6756
"267",13003,"2018-11-14",6752
"268",12505,"2018-09-24",6738
"269",13101,"2018-10-21",6712
"270",10901,"2018-09-21",6682
"271",10901,"2018-11-13",6656
"272",10901,"2018-11-14",6656
"273",3001,"2018-09-17",6638
"274",10901,"2018-09-20",6638
"275",12502,"2018-09-25",6633
"276",13002,"2018-09-27",6571
"277",13101,"2018-10-20",6558
"278",13305,"2018-11-28",6549
"279",12501,"2018-10-28",6500
"280",13001,"2018-09-09",6490
"281",13305,"2018-11-27",6455
"282",10901,"2018-11-15",6445
"283",11801,"2018-09-22",6438
"284",13001,"2018-09-08",6347
"285",12506,"2019-01-22",6324
"286",13003,"2018-11-11",6323
"287",13305,"2018-11-26",6323
"288",13002,"2018-09-21",6228
"289",12501,"2018-10-26",6197
"290",11801,"2018-10-15",6194
