"","Campaign.id","Date","Click.count"
"1",501,"2018-10-01",1
"2",501,"2018-10-03",6
"3",501,"2018-10-04",1
"4",501,"2018-10-09",2
"5",501,"2018-10-16",1
"6",501,"2018-10-25",1
"7",501,"2018-10-26",1
"8",501,"2018-11-27",1
"9",501,"2018-12-04",1
"10",1001,"2018-09-02",1
"11",1001,"2018-09-04",1
"12",1001,"2018-09-06",1
"13",1001,"2018-10-11",1
"14",1002,"2018-10-01",1
"15",1003,"2018-10-26",1
"16",1401,"2018-09-01",1
"17",1401,"2018-09-04",1
"18",1401,"2018-09-06",1
"19",1401,"2018-10-05",1
"20",1401,"2018-10-11",1
"21",1402,"2018-10-01",1
"22",2201,"2018-09-05",2
"23",2201,"2018-09-06",3
"24",2201,"2018-09-21",1
"25",2201,"2018-09-28",1
"26",2201,"2018-10-01",2
"27",2201,"2018-10-05",6
"28",2201,"2018-10-10",3
"29",2201,"2018-10-12",1
"30",2201,"2018-10-14",4
"31",2201,"2018-11-05",1
"32",2201,"2018-11-07",1
"33",2201,"2018-11-13",1
"34",2201,"2018-11-27",1
"35",2201,"2018-12-05",2
"36",2201,"2018-12-06",1
"37",2201,"2018-12-08",2
"38",2201,"2018-12-10",1
"39",2201,"2019-01-01",1
"40",2201,"2019-01-03",1
"41",2201,"2019-01-10",1
"42",2201,"2019-01-17",1
"43",2202,"2018-09-03",3
"44",2202,"2018-09-05",2
"45",2202,"2018-09-06",5
"46",2202,"2018-09-07",1
"47",2202,"2018-09-10",1
"48",2202,"2018-09-11",1
"49",2202,"2018-09-13",1
"50",2202,"2018-09-17",1
"51",2202,"2018-09-18",4
"52",2202,"2018-09-19",1
"53",2202,"2018-09-20",1
"54",2202,"2018-09-21",2
"55",2202,"2018-09-24",6
"56",2202,"2018-09-25",1
"57",2202,"2018-10-01",1
"58",2202,"2018-10-02",1
"59",2202,"2018-10-07",3
"60",2202,"2018-10-08",1
"61",2202,"2018-10-10",2
"62",2202,"2018-10-15",4
"63",2202,"2018-10-17",1
"64",2202,"2018-10-18",1
"65",2202,"2018-10-22",1
"66",2202,"2018-10-25",1
"67",2202,"2018-10-26",1
"68",2202,"2018-10-27",1
"69",2202,"2018-10-30",1
"70",2202,"2018-11-07",4
"71",2202,"2018-11-08",3
"72",2202,"2018-11-09",2
"73",2202,"2018-11-13",1
"74",2202,"2018-11-14",4
"75",2202,"2018-11-19",1
"76",2202,"2018-11-22",1
"77",2202,"2018-11-27",2
"78",2202,"2018-11-29",4
"79",2202,"2018-11-30",1
"80",2202,"2018-12-07",1
"81",2202,"2018-12-11",1
"82",2202,"2018-12-13",1
"83",2202,"2018-12-20",1
"84",2202,"2019-01-03",1
"85",2202,"2019-01-08",2
"86",2202,"2019-01-09",1
"87",2202,"2019-01-10",1
"88",2202,"2019-01-20",1
"89",2202,"2019-01-26",1
"90",2202,"2019-01-28",3
"91",3001,"2018-08-29",22231
"92",3001,"2018-08-30",19739
"93",3001,"2018-08-31",15102
"94",3001,"2018-09-01",127
