,ProductId,Title,Image URL,Division,Category,Sub category,Article type,Offer price,Sale price,Color,Gender
10,04DFF37DB3545CD0F6E28B31A5D263F6,"Stay Quirky Nail Polish, Gel Finish, Purple Gel-Ly- Fish 228 (6 ml)","https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,oi-purplle_exclusive_base_1__1__BytKq6D4b.png,ofo-top_right/static/img/product/123274/stay-quirky-nail-polish-gel-finish-purple-gel-ly-fish-228-6-ml_1_display_1501760058_8411abda.jpg",Makeup,Nails,Nail Polish,Nail Polish,99,158,Stay Quirky,women
27,F836E69FD59CEDA67476E72462C90583,"Stay Quirky Nail Polish, Gel Finish, The Girl In Blue 199 (6 ml)","https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,oi-purplle_exclusive_base_1__1__BytKq6D4b.png,ofo-top_right/static/img/product/123258/stay-quirky-nail-polish-gel-finish-the-girl-in-blue-199-6-ml_1_display_1501840145_c97ad597.jpg",Makeup,Nails,Nail Polish,Nail Polish,99,158,Stay Quirky,women
50,70EDC4391BE120C7298C4FDB1C21450F,"Stay Quirky Nail Polish, Gel Finish, Maroon Goodness 37 (6 ml)","https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,oi-purplle_exclusive_base_1__1__BytKq6D4b.png,ofo-top_right/static/img/product/123227/stay-quirky-nail-polish-gel-finish-maroon-goodness-37-6-ml_1_display_1501759867_9ae23ff4.jpg",Makeup,Nails,Nail Polish,Nail Polish,100,158,Stay Quirky,women
6055,7C61374611BBDB96973773FECB15F6C2,Salon Palette Makeup Sponges Oval (Pack of 2),"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,oi-purplle_exclusive_base_1__1__BytKq6D4b.png,ofo-top_right/static/img/product/137473/salon-palette-makeup-sponges-oval-pack-of-2_1_display_1519026386_1e2edf09.jpg",Body,Soap,Loofahs & Sponges,Loofahs & Sponges,97,159,Salon Palette,women
3462,F4B37EAF1A6389FA2BB40C71801F6D5D,VLCC Cocoa Butter Hydrating Body Lotion (200 ml),"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max/static/img/product/127640/vlcc-cocoa-butter-hydrating-body-lotion-200-ml-buy-1-get-1-free_2_display_1454131150_b185bbde.jpg",,Body,Body Lotion,Body Lotion,99,155,vlcc,women
7145,4A5C9C3FC3F952B1B4B26B4749E57ADA,Good Vibes Carrier Oil - Wheatgerm (50 ml),"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,oi-purplle_exclusive_base_1__1__BytKq6D4b.png,ofo-top_right/static/img/product/150521/good-vibes-carrier-oil-wheatgerm-50-ml_1_display_1534590596_0f83930d.jpg",Body,Body Oils,Carrier Oils,Carrier Oils,106,155,Good Vibes,women
4384,EB6448638A9EB9D7D0571C7A1545FFA8,Essence Studio Nails Banana File,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max/static/img/product/123460/essence-studio-nails-banana-file_1_display_1500292100_b9af9099.jpg",Body,Hand And Nail Care,Hand And Nail Treatment,Hand And Nail Treatment,97,149,Essence,women
7062,12494E6322F74D86,Roots Contour Comb C2,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max/static/img/product/72820/roots-contour-comb-c2_1_display_1450858195_9285ae86.jpg",Hair Care and Styling,Combs,Roots Combs,Roots Combs,108,160,Roots,women
4294,7FC090587DFE90B6AE1C17CB15B0A720,Biotique Bio Morning Nectar Lightning Lip BalmAA (5 g),"http://media6.ppl-media.com/tr:h-235,w-235,c-at_max/static/img/product/98894/biotique-bio-morning-nectar-lightninga-lip-balma-5-g_1_display_1467183583_f4a01210.jpg",,Skin Care,Lip Balm,Lip Balm,97,149,biotique,women
1008,3D03C055C2FEBD89BED24C49EF3F98A8,Colorbar Over The Top Powder Puff,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max/static/img/product/115436/colorbar-over-the-top-powder-puff_1_display_1490000658_f3d74964.jpg",Makeup,Face Makeup,Powder,Powder,105,150,Colorbar,women
