Month-year,depreciation
Jan-09,306
Feb-09,612
Mar-09,779
Apr-09,1077
May-09,1347
Jun-09,1596
Jul-09,1918
Aug-09,2218
Sep-09,2519
Oct-09,2828
Nov-09,3130
Dec-09,3439
Jan-10,301
Feb-10,602
Mar-10,903
Apr-10,1211
May-10,1528
Jun-10,1844
Jul-10,2191
Aug-10,2527
Sep-10,2880
Oct-10,3231
Nov-10,3575
Dec-10,4387
Jan-11,451
Feb-11,900
Mar-11,1354
Apr-11,1823
May-11,2211
Jun-11,2639
Jul-11,3117
Aug-11,3595
Sep-11,4074
Oct-11,4554
Nov-11,5046
Dec-11,5540
Jan-12,501
Feb-12,996
Mar-12,1494
Apr-12,2018
May-12,2535
Jun-12,3056
Jul-12,3562
Aug-12,4121
Sep-12,4645
Oct-12,5194
Nov-12,5742
Dec-12,6297
Jan-13,560
Feb-13,1077
Mar-13,1635
Apr-13,2224
May-13,2827
Jun-13,3465
Jul-13,4108
Aug-13,4764
Sep-13,5237
Oct-13,5831
Nov-13,6425
Dec-13,7039
Jan-14,637
Feb-14,2782
Mar-14,3934
Apr-14,5329
May-14,6730
Jun-14,8126
Jul-14,9551
Aug-14,10986
Sep-14,12431
Oct-14,13779
Nov-14,15217
Dec-14,16647
Jan-15,1401
Feb-15,2818
Mar-15,4205
Apr-15,5634
May-15,7075
Jun-15,8523
Jul-15,10001
Aug-15,11443
Sep-15,12942
Oct-15,14430
Nov-15,15969
Dec-15,17620
Jan-16,1496
Feb-16,2999
Mar-16,4520
Apr-16,6065
May-16,7658
Jun-16,9320
Jul-16,11330
Aug-16,13277
Sep-16,15289
Oct-16,17386
Nov-16,19503
Dec-16,21742
Jan-17,2141
Feb-17,4363
Mar-17,6836
Apr-17,9427
May-17,12047
Jun-17,14688
Jul-17,17049
Aug-17,19404
Sep-17,21763
Oct-17,24119
Nov-17,26484
Dec-17,28787
Jan-18,2353
Feb-18,4655
Mar-18,6949
Apr-18,9357
May-18,11763
Jun-18,14177
Jul-18,16685
Aug-18,19171
Sep-18,21659
Oct-18,24084
Nov-18,26341
Dec-18,29016
