region,time_stamp,depr
TUI,01-01-2009,301.2338432
TUI,01-02-2009,602.1969944
TUI,01-03-2009,763.7699003
TUI,01-04-2009,1056.331969
TUI,01-05-2009,1322.19307
TUI,01-06-2009,1566.643631
TUI,01-07-2009,1882.456221
TUI,01-08-2009,2176.744183
TUI,01-09-2009,2471.201141
TUI,01-10-2009,2774.465447
TUI,01-11-2009,3069.946521
TUI,01-12-2009,3373.279761
TUI,01-01-2010,294.3073371
TUI,01-02-2010,588.2384327
TUI,01-03-2010,882.1501721
TUI,01-04-2010,1183.458334
TUI,01-05-2010,1493.689458
TUI,01-06-2010,1803.275318
TUI,01-07-2010,2143.253949
TUI,01-08-2010,2472.701578
TUI,01-09-2010,2817.439795
TUI,01-10-2010,3159.488579
TUI,01-11-2010,3495.430621
TUI,01-12-2010,4297.204461
TUI,01-01-2011,438.1977686
TUI,01-02-2011,874.0943122
TUI,01-03-2011,1313.993661
TUI,01-04-2011,1771.608697
TUI,01-05-2011,2153.887012
TUI,01-06-2011,2572.936648
TUI,01-07-2011,3040.755413
TUI,01-08-2011,3508.638007
TUI,01-09-2011,3976.295368
TUI,01-10-2011,4447.479421
TUI,01-11-2011,4928.596827
TUI,01-12-2011,5410.124909
TUI,01-01-2012,486.1399019
TUI,01-02-2012,965.467211
TUI,01-03-2012,1447.945126
TUI,01-04-2012,1956.556389
TUI,01-05-2012,2458.658999
TUI,01-06-2012,2964.206508
TUI,01-07-2012,3455.578952
TUI,01-08-2012,3999.042154
TUI,01-09-2012,4507.233664
TUI,01-10-2012,5040.975632
TUI,01-11-2012,5573.399694
TUI,01-12-2012,6112.785985
TUI,01-01-2013,543.2193735
TUI,01-02-2013,1043.949694
TUI,01-03-2013,1586.449117
TUI,01-04-2013,2159.670115
TUI,01-05-2013,2746.160392
TUI,01-06-2013,3368.2366
TUI,01-07-2013,3995.549115
TUI,01-08-2013,4635.413741
TUI,01-09-2013,5105.140424
TUI,01-10-2013,5686.823677
TUI,01-11-2013,6268.254268
TUI,01-12-2013,6894.108935
TUI,01-01-2014,630.8768346
TUI,01-02-2014,2770.815494
TUI,01-03-2014,3916.761093
TUI,01-04-2014,5304.809463
TUI,01-05-2014,6700.500355
TUI,01-06-2014,8090.311871
TUI,01-07-2014,9509.099805
TUI,01-08-2014,10938.23515
TUI,01-09-2014,12376.15783
TUI,01-10-2014,13718.43619
TUI,01-11-2014,15150.22878
TUI,01-12-2014,16574.39747
TUI,01-01-2015,1395.507749
TUI,01-02-2015,2806.371524
TUI,01-03-2015,4187.484155
TUI,01-04-2015,5610.295105
TUI,01-05-2015,7046.112876
TUI,01-06-2015,8488.471797
TUI,01-07-2015,9960.97547
TUI,01-08-2015,11397.67042
TUI,01-09-2015,12890.8639
TUI,01-10-2015,14373.22364
TUI,01-11-2015,15907.08925
TUI,01-12-2015,17551.55085
TUI,01-01-2016,1488.857118
TUI,01-02-2016,2985.535354
TUI,01-03-2016,4500.440667
TUI,01-04-2016,6040.641691
TUI,01-05-2016,7628.894352
TUI,01-06-2016,9290.193024
TUI,01-07-2016,11276.38534
TUI,01-08-2016,13218.09403
TUI,01-09-2016,15223.91476
TUI,01-10-2016,17315.02318
TUI,01-11-2016,19425.2488
TUI,01-12-2016,21673.05705
TUI,01-01-2017,2135.490752
TUI,01-02-2017,4353.166147
TUI,01-03-2017,6820.542099
TUI,01-04-2017,9407.049479
TUI,01-05-2017,12019.01098
TUI,01-06-2017,14654.54556
TUI,01-07-2017,17010.86611
TUI,01-08-2017,19360.46447
TUI,01-09-2017,21721.80661
TUI,01-10-2017,24073.63501
TUI,01-11-2017,26435.55008
TUI,01-12-2017,28732.97862
TUI,01-01-2018,2350.131636
TUI,01-02-2018,4647.596006
TUI,01-03-2018,6938.401902
TUI,01-04-2018,9342.749883
TUI,01-05-2018,11744.84713
TUI,01-06-2018,14155.68142
TUI,01-07-2018,16659.94735
TUI,01-08-2018,19142.93037
TUI,01-09-2018,21627.48064
TUI,01-10-2018,24050.56345
TUI,01-11-2018,26300.08877
TUI,01-12-2018,28967.12425
Iran,01-01-2009,2.332443575
Iran,01-02-2009,4.654993523
Iran,01-03-2009,6.974377538
Iran,01-04-2009,9.236107105
Iran,01-05-2009,11.36553836
Iran,01-06-2009,-7.601227485
Iran,01-07-2009,15.66357989
