id,class_name,breed
img_0966,2,23
img_6542,2,24
img_2360,2,21
img_0763,1,12
img_6579,2,22
img_1013,2,21
img_4896,2,23
img_0418,2,24
img_1070,1,12
img_6988,2,22
img_6432,2,23
img_6923,2,22
img_3376,2,22
img_5280,1,12
img_0379,1,12
img_5701,2,21
img_3330,2,22
img_4795,2,25
img_3289,2,25
img_7322,1,11
img_3820,2,22
img_2397,2,21
img_6692,2,24
img_3293,2,22
img_3886,2,22
img_0538,2,22
img_1144,2,22
img_6294,2,22
img_4687,1,12
img_6453,2,24
img_0625,2,21
img_6113,1,15
img_6750,2,22
img_1110,2,22
img_1307,2,21
img_2219,1,12
img_1625,2,23
img_0105,2,23
img_5813,1,15
img_2193,2,22
img_0013,2,22
img_6876,2,22
img_5496,1,13
img_2716,2,23
img_2156,2,22
img_0775,2,23
img_3889,2,22
img_5563,2,21
img_4393,2,21
img_4670,2,25
img_3753,1,15
img_6660,2,21
img_2975,2,22
img_2447,1,12
img_1935,2,22
img_7335,2,22
img_7247,2,22
img_3109,2,25
img_4203,2,21
img_6391,2,22
img_2273,2,22
img_5715,2,22
img_2925,2,25
img_2197,2,22
img_1383,2,22
img_7120,2,23
img_4771,2,22
img_6570,2,25
img_5213,2,22
img_3686,2,22
img_2097,2,25
img_3301,2,25
img_3658,2,22
img_5046,2,22
img_0069,2,24
img_2588,1,12
img_3632,1,12
img_6153,1,12
img_6747,2,23
img_2703,1,12
img_3991,2,22
img_0936,2,22
img_0452,1,11
img_2348,2,22
img_7332,2,23
img_4945,2,21
img_6970,2,22
img_0859,2,24
img_5023,2,24
img_4952,2,25
img_5370,2,24
img_0089,2,25
img_3284,2,22
img_5051,2,23
img_3359,2,22
img_2918,1,13
img_6810,2,24
img_5119,2,22
img_7374,2,22
img_4731,1,11
img_4897,2,24
img_0283,2,21
img_7200,2,22
img_2764,2,21
img_5420,2,22
img_1669,1,13
img_2981,2,25
img_6571,2,22
img_1533,2,23
img_6986,2,24
img_0547,2,22
img_0196,1,11
img_2831,2,25
img_5456,2,22
img_3214,2,22
img_2101,2,21
img_0534,2,22
img_5707,2,21
img_2792,2,24
img_4494,2,25
img_2330,2,24
img_3769,1,13
img_1357,2,21
img_3681,2,24
img_7313,1,12
img_1548,2,23
img_0456,2,22
img_5982,1,12
img_2218,2,24
img_6478,2,24
img_3345,2,22
img_0643,2,24
img_1446,2,22
img_3866,2,22
img_4765,2,21
img_0761,2,22
img_0649,2,22
img_4541,2,21
img_3600,2,25
img_0484,1,12
img_5974,2,23
img_0464,2,21
img_0741,2,25
img_5431,1,15
img_1187,1,15
img_4363,2,22
img_4901,2,22
img_2916,2,22
img_4596,2,23
img_6086,2,22
img_3891,2,23
img_1489,2,23
img_7102,2,25
img_6413,2,25
img_6613,1,12
img_3475,2,21
img_5822,2,22
img_5373,1,12
img_3299,2,22
img_2579,1,12
img_5275,2,24
img_3316,1,12
img_6257,2,22
img_4921,2,23
img_4074,1,12
img_0380,2,22
img_6282,2,21
img_0308,1,12
img_6477,1,12
img_1638,2,21
img_2033,2,25
img_1227,1,14
img_6184,2,23
img_4895,2,22
img_5402,2,24
img_4368,2,21
img_2496,2,25
img_1657,2,22
img_6934,2,21
img_3072,1,12
img_4815,1,12
img_2536,2,21
img_6476,2,21
img_3510,2,22
img_7242,1,11
img_1721,2,21
img_4544,1,14
img_3025,2,23
img_5953,1,13
